title,date,doi,parent_doi,proceedings_doi,type
IODP Expedition 391 Hole summary,2023-10-11,https://doi.org/10.5281/zenodo.10206216,https://doi.org/10.5281/zenodo.10206215,https://doi.org/10.14379/iodp.proc.391.2023,info:eu-repo/semantics/other
IODP Expedition 391 Scanning electron microscope images,2023-10-11,https://doi.org/10.5281/zenodo.10206224,https://doi.org/10.5281/zenodo.10206223,https://doi.org/10.14379/iodp.proc.391.2023,info:eu-repo/semantics/other
IODP Expedition 391 Alkalinity and pH,2023-10-11,https://doi.org/10.5281/zenodo.10206227,https://doi.org/10.5281/zenodo.10206226,https://doi.org/10.14379/iodp.proc.391.2023,info:eu-repo/semantics/other
IODP Expedition 391 Photomicrographs,2023-10-11,https://doi.org/10.5281/zenodo.10206279,https://doi.org/10.5281/zenodo.10206278,https://doi.org/10.14379/iodp.proc.391.2023,info:eu-repo/semantics/other
IODP Expedition 391 Closeup images,2023-10-11,https://doi.org/10.5281/zenodo.10206287,https://doi.org/10.5281/zenodo.10206286,https://doi.org/10.14379/iodp.proc.391.2023,info:eu-repo/semantics/other
IODP Expedition 391 Core composite images,2023-10-11,https://doi.org/10.5281/zenodo.10206297,https://doi.org/10.5281/zenodo.10206296,https://doi.org/10.14379/iodp.proc.391.2023,info:eu-repo/semantics/other
IODP Expedition 391 Section-half images,2023-10-11,https://doi.org/10.5281/zenodo.10206299,https://doi.org/10.5281/zenodo.10206298,https://doi.org/10.14379/iodp.proc.391.2023,info:eu-repo/semantics/other
IODP Expedition 391 Whole-round core section composite 360 degree images,2023-10-11,https://doi.org/10.5281/zenodo.10206311,https://doi.org/10.5281/zenodo.10206310,https://doi.org/10.14379/iodp.proc.391.2023,info:eu-repo/semantics/other
IODP Expedition 391 Whole-round core section images,2023-10-11,https://doi.org/10.5281/zenodo.10206339,https://doi.org/10.5281/zenodo.10206338,https://doi.org/10.14379/iodp.proc.391.2023,info:eu-repo/semantics/other
IODP Expedition 391 Vane shear strength (AVS),2023-10-11,https://doi.org/10.5281/zenodo.10206365,https://doi.org/10.5281/zenodo.10206364,https://doi.org/10.14379/iodp.proc.391.2023,info:eu-repo/semantics/other
IODP Expedition 391 Carbonates composite report,2023-10-11,https://doi.org/10.5281/zenodo.10206367,https://doi.org/10.5281/zenodo.10206366,https://doi.org/10.14379/iodp.proc.391.2023,info:eu-repo/semantics/other
IODP Expedition 391 Elemental analysis (CHNS),2023-10-11,https://doi.org/10.5281/zenodo.10206369,https://doi.org/10.5281/zenodo.10206368,https://doi.org/10.14379/iodp.proc.391.2023,info:eu-repo/semantics/other
IODP Expedition 391 Core summary,2023-10-11,https://doi.org/10.5281/zenodo.10206371,https://doi.org/10.5281/zenodo.10206370,https://doi.org/10.14379/iodp.proc.391.2023,info:eu-repo/semantics/other
IODP Expedition 391 Inorganic carbon (coulometer),2023-10-11,https://doi.org/10.5281/zenodo.10206375,https://doi.org/10.5281/zenodo.10206374,https://doi.org/10.14379/iodp.proc.391.2023,info:eu-repo/semantics/other
IODP Expedition 391 Micropaleontology,2023-10-11,https://doi.org/10.5281/zenodo.10206377,https://doi.org/10.5281/zenodo.10206376,https://doi.org/10.14379/iodp.proc.391.2023,info:eu-repo/semantics/other
IODP Expedition 391 Visual core description,2023-10-11,https://doi.org/10.5281/zenodo.10206379,https://doi.org/10.5281/zenodo.10206378,https://doi.org/10.14379/iodp.proc.391.2023,info:eu-repo/semantics/other
IODP Expedition 391 Core drilling summary,2023-10-11,https://doi.org/10.5281/zenodo.10206381,https://doi.org/10.5281/zenodo.10206380,https://doi.org/10.14379/iodp.proc.391.2023,info:eu-repo/semantics/other
IODP Expedition 391 Gas safety report,2023-10-11,https://doi.org/10.5281/zenodo.10206385,https://doi.org/10.5281/zenodo.10206384,https://doi.org/10.14379/iodp.proc.391.2023,info:eu-repo/semantics/other
IODP Expedition 391 Bulk Density (GRA),2023-10-11,https://doi.org/10.5281/zenodo.10206389,https://doi.org/10.5281/zenodo.10206388,https://doi.org/10.14379/iodp.proc.391.2023,info:eu-repo/semantics/other
IODP Expedition 391 Hole drilling summary,2023-10-11,https://doi.org/10.5281/zenodo.10206391,https://doi.org/10.5281/zenodo.10206390,https://doi.org/10.14379/iodp.proc.391.2023,info:eu-repo/semantics/other
IODP Expedition 391 ICP-AES elemental analysis (interstitial water),2023-10-11,https://doi.org/10.5281/zenodo.10206395,https://doi.org/10.5281/zenodo.10206394,https://doi.org/10.14379/iodp.proc.391.2023,info:eu-repo/semantics/other
IODP Expedition 391 ICP-AES elemental analysis (solids),2023-10-11,https://doi.org/10.5281/zenodo.10206401,https://doi.org/10.5281/zenodo.10206400,https://doi.org/10.14379/iodp.proc.391.2023,info:eu-repo/semantics/other
IODP Expedition 391 Ion chromatography,2023-10-11,https://doi.org/10.5281/zenodo.10206403,https://doi.org/10.5281/zenodo.10206402,https://doi.org/10.14379/iodp.proc.391.2023,info:eu-repo/semantics/other
IODP Expedition 391 Interstitial water composite report,2023-10-11,https://doi.org/10.5281/zenodo.10206405,https://doi.org/10.5281/zenodo.10206404,https://doi.org/10.14379/iodp.proc.391.2023,info:eu-repo/semantics/other
IODP Expedition 391 Magnetic susceptibility (Kappabridge),2023-10-11,https://doi.org/10.5281/zenodo.10206407,https://doi.org/10.5281/zenodo.10206406,https://doi.org/10.14379/iodp.proc.391.2023,info:eu-repo/semantics/other
IODP Expedition 391 Moisture and Density,2023-10-11,https://doi.org/10.5281/zenodo.10206411,https://doi.org/10.5281/zenodo.10206410,https://doi.org/10.14379/iodp.proc.391.2023,info:eu-repo/semantics/other
IODP Expedition 391 Magnetic susceptibility (whole round),2023-10-11,https://doi.org/10.5281/zenodo.10206415,https://doi.org/10.5281/zenodo.10206414,https://doi.org/10.14379/iodp.proc.391.2023,info:eu-repo/semantics/other
IODP Expedition 391 Magnetic susceptibility (point or contact system),2023-10-11,https://doi.org/10.5281/zenodo.10206417,https://doi.org/10.5281/zenodo.10206416,https://doi.org/10.14379/iodp.proc.391.2023,info:eu-repo/semantics/other
IODP Expedition 391 Natural gamma radiation,2023-10-11,https://doi.org/10.5281/zenodo.10206419,https://doi.org/10.5281/zenodo.10206418,https://doi.org/10.14379/iodp.proc.391.2023,info:eu-repo/semantics/other
IODP Expedition 391 Piece log,2023-10-11,https://doi.org/10.5281/zenodo.10206421,https://doi.org/10.5281/zenodo.10206420,https://doi.org/10.14379/iodp.proc.391.2023,info:eu-repo/semantics/other
IODP Expedition 391 Laser height profile (section half),2023-10-11,https://doi.org/10.5281/zenodo.10206423,https://doi.org/10.5281/zenodo.10206422,https://doi.org/10.14379/iodp.proc.391.2023,info:eu-repo/semantics/other
IODP Expedition 391 P-wave velocity bayonet (section),2023-10-11,https://doi.org/10.5281/zenodo.10206427,https://doi.org/10.5281/zenodo.10206426,https://doi.org/10.14379/iodp.proc.391.2023,info:eu-repo/semantics/other
IODP Expedition 391 P-wave velocity logger (whole round),2023-10-11,https://doi.org/10.5281/zenodo.10206431,https://doi.org/10.5281/zenodo.10206430,https://doi.org/10.14379/iodp.proc.391.2023,info:eu-repo/semantics/other
IODP Expedition 391 Portable X-ray fluorescence (p-XRF),2023-10-11,https://doi.org/10.5281/zenodo.10206433,https://doi.org/10.5281/zenodo.10206432,https://doi.org/10.14379/iodp.proc.391.2023,info:eu-repo/semantics/other
IODP Expedition 391 RGB channels (calculated from core photos),2023-10-11,https://doi.org/10.5281/zenodo.10206435,https://doi.org/10.5281/zenodo.10206434,https://doi.org/10.14379/iodp.proc.391.2023,info:eu-repo/semantics/other
IODP Expedition 391 Color reflectance,2023-10-11,https://doi.org/10.5281/zenodo.10206437,https://doi.org/10.5281/zenodo.10206436,https://doi.org/10.14379/iodp.proc.391.2023,info:eu-repo/semantics/other
IODP Expedition 391 Sample report,2023-10-11,https://doi.org/10.5281/zenodo.10206441,https://doi.org/10.5281/zenodo.10206440,https://doi.org/10.14379/iodp.proc.391.2023,info:eu-repo/semantics/other
IODP Expedition 391 Section summary,2023-10-11,https://doi.org/10.5281/zenodo.10206443,https://doi.org/10.5281/zenodo.10206442,https://doi.org/10.14379/iodp.proc.391.2023,info:eu-repo/semantics/other
IODP Expedition 391 Spectrophotometry,2023-10-11,https://doi.org/10.5281/zenodo.10206445,https://doi.org/10.5281/zenodo.10206444,https://doi.org/10.14379/iodp.proc.391.2023,info:eu-repo/semantics/other
IODP Expedition 391 Magnetic remanence (spinner),2023-10-11,https://doi.org/10.5281/zenodo.10206447,https://doi.org/10.5281/zenodo.10206446,https://doi.org/10.14379/iodp.proc.391.2023,info:eu-repo/semantics/other
IODP Expedition 391 Magnetic remanence (SRM-longcore),2023-10-11,https://doi.org/10.5281/zenodo.10206449,https://doi.org/10.5281/zenodo.10206448,https://doi.org/10.14379/iodp.proc.391.2023,info:eu-repo/semantics/other
